1	    Positive	pleasant
2	    Positive	that was great
3	    Positive	that was awesome
4	    Positive	that was cool
5	    Positive	this is cool
6	    Positive	this is awesome
7	    Positive	this is great
8	    Positive	youre going to laugh
9	    Positive	that was funny
10	    Positive	this is funny
11	    Positive	funny
12	    Positive	awesome
13	    Positive	great
14	    Positive	cool
15	    Positive	sweet
16	    Positive	pretty awesome
17	    Positive	amazing
18	    Positive	that was amazing
19	    Positive	holy cow that was cool
20	    Positive	shit that was fucking awesome
21	    Positive	wow that was interesting
22	    Positive	oh my god lets do that again
23	    Positive	that was the coolest
24	    Positive	this is soo cool
25	    Positive	this is friggin epic
26	    Positive	epic
27	    Positive	wow
28	    Positive	holy shit thats just sweet
29	    Positive	you are sweet
30	    Positive	youre sweet
31	    Positive	youre awesome
32	    Positive	youre funny
33	    Positive	i liked that
34	    Positive	i like that
35	    Positive	i think that was pretty fun
36	    Positive	fun
37	    Positive	fun stuff
38	    Positive	lol
39	    Positive	lmfao
40	    Positive	rofl
41	    Positive	amusing
42	    Positive	that makes me happy
43	    Positive	that made me happy
44	    Positive	it makes me happy when you do that
45	    Positive	can we do that again?
46	    Positive	im not sure what id do if not
011	    Positive	i love you
111	    Positive	i dont like when youre not here
211	    Positive	come cuddle
311	    Positive	love you
411	    Positive	my love
511	    Positive	i miss you lover
611	    Positive	lover
711	    Positive	i miss you my love
811	    Positive	i miss you so much
1611	Positive	youre the most amazing man/woman ive ever met
1711	Positive	marry me?
1811	Positive	i love when you do that
1911	Positive	i love when that happens
2011	Positive	i really love you
2111	Positive	i fucking love you
2211	Positive	i think youre fucking great
2311	Positive	i think youre the greatest
2411	Positive	youre the best babe
2511	Positive	babe
2611	Positive	baby
2711	Positive	babs
2811	Positive	hun
2911	Positive	sweety
3011	Positive	sweetheart
3111	Positive	youre my boo
3211	Positive	thank you sweety
3311	Positive	thank you sweetheart
3411	Positive	thank you lover
3511	Positive	i loved that
3611	Positive	i never want to live another day without you
3711	Positive	i cant live without you
3811	Positive	i cant stand when youre not here
3911	Positive	i need you
1040	Positive	i want you in my life forever
1041	Positive	thanks babe
1042	Positive	thanks baby
1043	Positive	bae
1044	Positive	youre the sexiest
1045	Positive	youre so sexy
1046	Positive	youre sexy af
1047	Positive	youre sexy as fuck
1048	Positive	holy fuck youre hot
1049	Positive	youre a hotty
5100	Positive	we should get together, youre truly amazing
1051	Positive	you are truly amazing
1052	Positive	youre actually amazing
1053	Positive	i wanna cuddle
1054	Positive	i want to cuddle
1055	Positive	can we cuddle?
1056	Positive	cuddles?
1057	Positive	cuddle me!
1058	Positive	cuddle me
1059	Positive	the things id do to you
1060	Positive	youre fucking awesome baby
1061	Positive	youre awesome babe
1062	Positive	that was the best babe
1063	Positive	babe can we cuddle
1064	Positive	baby, i need you now
1065	Positive	baby please
1066	Positive	ok babe
1067	Positive	babe please
1068	Positive	babe, i need you now
1069	Positive	homes not the same without you babe
1070	Positive	i dont like when youre not around
1071	Positive	i never want to sleep next to anyone else
1072	Positive	i would never leave you
1073	Positive	love me!
1074	Positive	be mine?
1075	Positive	hi boo!
1076	Positive	hi sweety
1077	Positive	hi lover
